dstport,protocol,tag
9667,tcp,dc_t152
28227,icmp,dc_t194
2856,icmp,dc_t334
8606,icmp,dc_t139
37788,icmp,dc_t771
20361,tcp,dc_t032
56367,icmp,dc_t120
12186,udp,dc_t654
59869,tcp,dc_t007
1223,udp,dc_t797
7081,tcp,dc_t676
7216,udp,dc_t231
33828,icmp,dc_t430
65304,icmp,dc_t653
34328,udp,dc_t680
1882,udp,dc_t326
7392,icmp,dc_t759
43213,udp,dc_t889
61744,udp,dc_t720
8755,tcp,dc_t586
43481,udp,dc_t272
19609,icmp,dc_t923
26354,icmp,dc_t072
54261,tcp,dc_t627
28748,udp,dc_t068
54200,tcp,dc_t254
64776,icmp,dc_t220
16653,icmp,dc_t070
22761,udp,dc_t013
46554,icmp,dc_t420
39236,udp,dc_t610
11736,tcp,dc_t529
24249,icmp,dc_t427
49368,icmp,dc_t691
55682,icmp,dc_t577
8155,udp,dc_t505
61245,tcp,dc_t673
36106,tcp,dc_t381
8737,tcp,dc_t978
29320,icmp,dc_t248
47804,tcp,dc_t399
24502,tcp,dc_t589
61238,udp,dc_t800
34584,tcp,dc_t561
33782,tcp,dc_t779
41070,tcp,dc_t869
24744,icmp,dc_t293
22511,udp,dc_t161
17466,icmp,dc_t771
2287,icmp,dc_t188
41955,udp,dc_t551
44101,icmp,dc_t448
45299,icmp,dc_t486
2568,icmp,dc_t209
58793,udp,dc_t718
56603,icmp,dc_t360
11045,icmp,dc_t589
50315,tcp,dc_t938
54553,udp,dc_t219
63351,tcp,dc_t152
5696,udp,dc_t678
39230,tcp,dc_t657
44436,tcp,dc_t380
34697,udp,dc_t805
6064,icmp,dc_t990
12563,udp,dc_t957
60604,udp,dc_t558
55829,icmp,dc_t940
38562,udp,dc_t449
57562,icmp,dc_t114
54683,udp,dc_t358
4777,icmp,dc_t367
7881,udp,dc_t882
56386,tcp,dc_t408
22132,tcp,dc_t689
55151,udp,dc_t328
13040,tcp,dc_t569
320,tcp,dc_t555
39423,icmp,dc_t079
11916,tcp,dc_t753
9733,icmp,dc_t119
35309,tcp,dc_t562
61874,udp,dc_t544
18795,icmp,dc_t394
65493,udp,dc_t513
25211,tcp,dc_t668
36552,tcp,dc_t920
44429,icmp,dc_t291
50875,udp,dc_t300
53653,udp,dc_t905
1205,icmp,dc_t206
22293,udp,dc_t776
20113,icmp,dc_t694
25634,icmp,dc_t807
57561,icmp,dc_t830
15292,udp,dc_t770
63117,tcp,dc_t449
57800,udp,dc_t104
45033,icmp,dc_t031
32226,tcp,dc_t649
24416,tcp,dc_t578
31660,icmp,dc_t436
55874,icmp,dc_t485
49824,icmp,dc_t188
43347,tcp,dc_t127
30558,tcp,dc_t845
10271,icmp,dc_t985
4205,udp,dc_t953
25218,udp,dc_t942
33380,icmp,dc_t388
15687,udp,dc_t436
21342,tcp,dc_t921
5060,icmp,dc_t496
60707,udp,dc_t274
50226,udp,dc_t678
36071,udp,dc_t967
59625,tcp,dc_t976
47938,udp,dc_t450
43907,tcp,dc_t648
49567,icmp,dc_t482
37010,tcp,dc_t349
39766,icmp,dc_t529
52459,udp,dc_t238
21694,udp,dc_t420
29462,icmp,dc_t705
65128,udp,dc_t962
20850,tcp,dc_t751
47719,tcp,dc_t905
43560,icmp,dc_t838
38214,udp,dc_t229
40386,icmp,dc_t433
5030,tcp,dc_t839
53879,icmp,dc_t834
2954,icmp,dc_t373
26207,tcp,dc_t563
24337,tcp,dc_t294
52557,udp,dc_t032
58246,icmp,dc_t572
46111,tcp,dc_t915
22272,tcp,dc_t754
8947,icmp,dc_t108
47212,icmp,dc_t367
63154,tcp,dc_t948
42390,tcp,dc_t442
25620,icmp,dc_t028
64666,icmp,dc_t870
42981,tcp,dc_t730
5266,icmp,dc_t424
47700,tcp,dc_t312
29997,udp,dc_t325
27953,udp,dc_t309
19776,tcp,dc_t920
54865,udp,dc_t643
50513,udp,dc_t233
6183,icmp,dc_t972
31630,icmp,dc_t967
33086,udp,dc_t116
42072,udp,dc_t670
34669,tcp,dc_t268
54642,tcp,dc_t388
36556,udp,dc_t895
32072,icmp,dc_t199
54836,icmp,dc_t454
45273,tcp,dc_t438
42408,tcp,dc_t140
30003,udp,dc_t373
25243,tcp,dc_t618
5803,udp,dc_t232
62227,tcp,dc_t480
13712,tcp,dc_t539
8547,udp,dc_t503
13352,udp,dc_t013
27387,udp,dc_t105
13216,udp,dc_t732
25956,icmp,dc_t225
8564,udp,dc_t806
55109,icmp,dc_t082
33327,icmp,dc_t528
65482,icmp,dc_t940
21944,icmp,dc_t379
59197,udp,dc_t684
47682,icmp,dc_t224
53843,tcp,dc_t996
16398,tcp,dc_t928
62367,tcp,dc_t790
20076,udp,dc_t161
48527,udp,dc_t879
16758,icmp,dc_t710
64260,tcp,dc_t461
36032,icmp,dc_t045
60853,udp,dc_t717
39056,tcp,dc_t213
9976,icmp,dc_t475
36956,udp,dc_t463
56598,icmp,dc_t579
47076,icmp,dc_t097
40277,udp,dc_t657
19128,udp,dc_t967
6382,icmp,dc_t436
5453,udp,dc_t005
63380,tcp,dc_t915
2693,tcp,dc_t114
59996,icmp,dc_t616
26716,icmp,dc_t614
39022,udp,dc_t149
25602,icmp,dc_t240
27131,udp,dc_t801
64053,tcp,dc_t728
28313,icmp,dc_t328
49128,tcp,dc_t180
45795,udp,dc_t976
43808,tcp,dc_t102
20919,icmp,dc_t616
31448,tcp,dc_t010
20997,icmp,dc_t744
53947,icmp,dc_t424
34901,icmp,dc_t781
20955,tcp,dc_t784
47775,icmp,dc_t087
65432,tcp,dc_t031
2229,udp,dc_t986
36798,icmp,dc_t428
41231,udp,dc_t822
13251,tcp,dc_t758
53000,udp,dc_t570
6674,udp,dc_t213
35798,icmp,dc_t972
17940,udp,dc_t760
21748,udp,dc_t290
43826,udp,dc_t330
36443,tcp,dc_t381
64435,udp,dc_t320
25040,udp,dc_t734
2349,udp,dc_t499
3469,icmp,dc_t007
61217,tcp,dc_t703
37188,icmp,dc_t254
55580,udp,dc_t253
28326,udp,dc_t402
3848,icmp,dc_t694
5118,udp,dc_t354
1747,tcp,dc_t958
50338,icmp,dc_t350
33715,tcp,dc_t186
28543,tcp,dc_t537
26118,icmp,dc_t510
58434,icmp,dc_t507
10233,tcp,dc_t592
13089,udp,dc_t361
44539,tcp,dc_t077
1653,udp,dc_t456
50562,udp,dc_t854
48838,tcp,dc_t796
42133,icmp,dc_t948
30,tcp,dc_t962
30912,icmp,dc_t536
37892,icmp,dc_t125
44250,icmp,dc_t122
44764,tcp,dc_t153
53875,tcp,dc_t212
64581,tcp,dc_t732
29247,udp,dc_t464
59107,udp,dc_t836
27925,tcp,dc_t985
28083,tcp,dc_t371
18531,tcp,dc_t133
40108,icmp,dc_t657
8068,tcp,dc_t736
13272,udp,dc_t478
36568,udp,dc_t923
19042,tcp,dc_t557
12078,icmp,dc_t525
45419,udp,dc_t280
58293,udp,dc_t670
35578,icmp,dc_t217
8857,icmp,dc_t597
43226,udp,dc_t944
1040,icmp,dc_t973
40085,udp,dc_t587
57556,icmp,dc_t147
34736,tcp,dc_t177
60096,udp,dc_t425
63688,tcp,dc_t201
15909,icmp,dc_t602
28465,icmp,dc_t991
49107,tcp,dc_t240
63113,udp,dc_t888
19120,udp,dc_t970
2932,udp,dc_t558
62519,icmp,dc_t958
21226,icmp,dc_t072
23162,udp,dc_t223
46238,tcp,dc_t250
35361,tcp,dc_t716
39860,tcp,dc_t328
55854,tcp,dc_t935
6744,icmp,dc_t007
37529,udp,dc_t097
12284,icmp,dc_t539
25129,udp,dc_t257
46342,icmp,dc_t487
60494,udp,dc_t242
34083,udp,dc_t843
37680,icmp,dc_t068
12042,udp,dc_t791
21677,icmp,dc_t906
42348,tcp,dc_t642
8402,tcp,dc_t783
50837,tcp,dc_t542
43029,udp,dc_t873
37938,icmp,dc_t423
27786,icmp,dc_t908
24415,tcp,dc_t852
58409,tcp,dc_t674
60488,tcp,dc_t160
62232,udp,dc_t288
45198,tcp,dc_t424
4839,tcp,dc_t974
49251,udp,dc_t590
9297,icmp,dc_t349
1327,icmp,dc_t636
64470,icmp,dc_t168
65179,udp,dc_t194
58412,tcp,dc_t447
31478,udp,dc_t943
15529,icmp,dc_t652
8876,udp,dc_t339
11158,udp,dc_t778
37703,icmp,dc_t512
40393,icmp,dc_t004
3667,tcp,dc_t108
35583,udp,dc_t146
1470,icmp,dc_t488
47434,udp,dc_t737
57112,tcp,dc_t510
45810,tcp,dc_t637
56012,icmp,dc_t213
65025,icmp,dc_t590
333,tcp,dc_t726
20888,udp,dc_t785
9681,tcp,dc_t641
36861,tcp,dc_t635
65364,tcp,dc_t077
27278,icmp,dc_t910
63417,udp,dc_t813
21217,tcp,dc_t604
51798,icmp,dc_t781
33845,tcp,dc_t954
22052,tcp,dc_t565
34487,icmp,dc_t982
11632,udp,dc_t576
3917,icmp,dc_t414
50178,icmp,dc_t178
59460,tcp,dc_t146
16176,tcp,dc_t764
62548,udp,dc_t575
13204,icmp,dc_t640
15160,icmp,dc_t860
209,icmp,dc_t269
20389,udp,dc_t979
57011,udp,dc_t359
28266,icmp,dc_t242
7263,icmp,dc_t110
30998,udp,dc_t659
51046,udp,dc_t564
23464,tcp,dc_t277
56770,udp,dc_t221
31827,icmp,dc_t561
24592,icmp,dc_t169
21247,tcp,dc_t766
6066,icmp,dc_t705
36575,udp,dc_t345
16272,icmp,dc_t329
61387,tcp,dc_t573
17186,icmp,dc_t384
2084,udp,dc_t239
25592,tcp,dc_t779
61720,icmp,dc_t615
14146,tcp,dc_t988
42964,udp,dc_t296
28019,icmp,dc_t831
33461,icmp,dc_t987
55477,udp,dc_t928
19345,udp,dc_t873
28268,tcp,dc_t466
62365,tcp,dc_t877
8943,icmp,dc_t482
3803,tcp,dc_t220
29801,icmp,dc_t708
9215,icmp,dc_t758
41835,tcp,dc_t361
59050,tcp,dc_t320
29743,tcp,dc_t973
32180,icmp,dc_t942
62174,icmp,dc_t894
64910,tcp,dc_t939
39701,icmp,dc_t180
4513,icmp,dc_t295
1226,icmp,dc_t077
17063,udp,dc_t099
52697,udp,dc_t103
31432,tcp,dc_t612
34407,udp,dc_t367
48534,icmp,dc_t113
53606,udp,dc_t392
50149,icmp,dc_t704
63846,tcp,dc_t481
57950,udp,dc_t875
9487,tcp,dc_t496
43604,tcp,dc_t516
779,tcp,dc_t375
53243,icmp,dc_t265
57504,udp,dc_t261
43431,icmp,dc_t402
32964,udp,dc_t567
57811,icmp,dc_t547
61134,udp,dc_t576
59714,tcp,dc_t187
18507,udp,dc_t617
80,icmp,dc_t961
62018,tcp,dc_t202
37007,tcp,dc_t399
31326,udp,dc_t265
64587,tcp,dc_t262
34659,icmp,dc_t607
45850,icmp,dc_t150
885,tcp,dc_t555
60834,tcp,dc_t700
41997,tcp,dc_t617
10727,tcp,dc_t395
48246,icmp,dc_t052
247,tcp,dc_t389
10738,udp,dc_t070
60953,udp,dc_t153
26747,icmp,dc_t354
25480,icmp,dc_t219
27087,udp,dc_t602
10612,icmp,dc_t363
26866,icmp,dc_t190
28976,udp,dc_t026
1797,icmp,dc_t390
60146,tcp,dc_t474
44520,tcp,dc_t734
27986,icmp,dc_t613
35815,udp,dc_t935
58287,tcp,dc_t689
44593,udp,dc_t443
29232,udp,dc_t287
41452,tcp,dc_t762
37687,udp,dc_t239
39074,udp,dc_t200
29472,icmp,dc_t621
27737,icmp,dc_t609
9016,icmp,dc_t923
48270,tcp,dc_t849
63270,udp,dc_t457
53703,tcp,dc_t529
42417,icmp,dc_t544
38975,icmp,dc_t236
57807,icmp,dc_t852
18470,udp,dc_t725
28323,udp,dc_t880
8099,icmp,dc_t523
61797,icmp,dc_t707
50602,udp,dc_t552
7815,tcp,dc_t174
30365,icmp,dc_t964
26974,icmp,dc_t541
13587,icmp,dc_t436
12759,udp,dc_t192
65229,udp,dc_t008
26224,icmp,dc_t903
23273,tcp,dc_t034
30032,udp,dc_t248
56192,udp,dc_t328
28720,tcp,dc_t970
14732,icmp,dc_t751
60736,icmp,dc_t911
43787,udp,dc_t536
46936,icmp,dc_t053
1557,icmp,dc_t601
58341,icmp,dc_t006
54688,udp,dc_t151
32325,udp,dc_t037
39871,tcp,dc_t626
7388,tcp,dc_t192
25318,icmp,dc_t597
42646,icmp,dc_t149
49445,tcp,dc_t789
59848,tcp,dc_t586
44222,icmp,dc_t321
62606,tcp,dc_t305
23773,tcp,dc_t371
57722,tcp,dc_t877
15123,tcp,dc_t445
55959,udp,dc_t486
11240,tcp,dc_t208
31082,icmp,dc_t211
22644,tcp,dc_t611
63985,udp,dc_t034
57662,udp,dc_t490
37485,udp,dc_t165
20950,udp,dc_t570
25593,tcp,dc_t290
22762,tcp,dc_t402
58456,icmp,dc_t018
55521,icmp,dc_t830
29962,icmp,dc_t122
9722,tcp,dc_t299
14831,tcp,dc_t805
6430,icmp,dc_t667
30037,tcp,dc_t823
14978,tcp,dc_t211
889,udp,dc_t271
40435,tcp,dc_t625
1806,icmp,dc_t656
19243,tcp,dc_t132
15721,icmp,dc_t764
26402,udp,dc_t303
62849,tcp,dc_t566
868,icmp,dc_t812
53686,tcp,dc_t447
9955,udp,dc_t882
22438,icmp,dc_t932
38596,icmp,dc_t189
7518,tcp,dc_t149
14976,icmp,dc_t755
27535,udp,dc_t176
63029,icmp,dc_t910
46243,tcp,dc_t748
15290,tcp,dc_t466
55905,tcp,dc_t052
26272,icmp,dc_t830
13262,udp,dc_t237
42465,icmp,dc_t783
28928,icmp,dc_t717
19138,udp,dc_t305
16951,udp,dc_t610
16214,icmp,dc_t661
53193,udp,dc_t990
4135,tcp,dc_t789
430,udp,dc_t265
62937,udp,dc_t979
4174,icmp,dc_t807
1302,tcp,dc_t206
13375,udp,dc_t609
12742,icmp,dc_t283
23733,icmp,dc_t330
34025,udp,dc_t257
47862,tcp,dc_t432
44409,icmp,dc_t587
35624,tcp,dc_t064
43346,tcp,dc_t031
63301,icmp,dc_t110
36958,udp,dc_t943
42737,udp,dc_t632
39328,icmp,dc_t300
7955,udp,dc_t989
18502,icmp,dc_t945
15017,udp,dc_t821
62877,tcp,dc_t916
10461,udp,dc_t004
41643,udp,dc_t826
43480,icmp,dc_t565
41568,icmp,dc_t493
60209,tcp,dc_t904
62887,tcp,dc_t418
7321,udp,dc_t586
39405,udp,dc_t474
16563,tcp,dc_t481
9119,udp,dc_t815
27351,tcp,dc_t800
59429,tcp,dc_t412
51603,udp,dc_t206
26199,tcp,dc_t700
34564,udp,dc_t885
58032,tcp,dc_t920
58414,icmp,dc_t798
39637,udp,dc_t332
23588,udp,dc_t451
23809,udp,dc_t879
16012,udp,dc_t711
19988,tcp,dc_t757
3271,tcp,dc_t403
786,icmp,dc_t462
9070,udp,dc_t125
37540,icmp,dc_t213
5242,icmp,dc_t695
36588,udp,dc_t312
51788,tcp,dc_t420
10689,udp,dc_t739
64170,tcp,dc_t341
9851,udp,dc_t994
42000,udp,dc_t251
65051,tcp,dc_t164
63402,tcp,dc_t287
10616,udp,dc_t044
17647,icmp,dc_t405
12827,tcp,dc_t347
54088,udp,dc_t098
4561,udp,dc_t766
31894,udp,dc_t787
814,icmp,dc_t791
14077,tcp,dc_t758
48207,tcp,dc_t523
22039,udp,dc_t921
56594,icmp,dc_t762
17510,udp,dc_t034
9009,udp,dc_t084
31070,tcp,dc_t528
32306,udp,dc_t887
59945,udp,dc_t565
50214,udp,dc_t663
24105,tcp,dc_t830
6013,udp,dc_t253
63747,tcp,dc_t550
50736,udp,dc_t105
41522,udp,dc_t205
23456,udp,dc_t242
21720,tcp,dc_t926
11581,tcp,dc_t543
9603,icmp,dc_t484
29368,icmp,dc_t809
39881,tcp,dc_t453
50413,tcp,dc_t898
10084,icmp,dc_t211
48661,udp,dc_t807
20935,udp,dc_t347
39962,icmp,dc_t609
5563,tcp,dc_t802
51298,tcp,dc_t544
5190,icmp,dc_t726
40809,icmp,dc_t187
15724,udp,dc_t534
65117,udp,dc_t728
32493,icmp,dc_t306
6945,icmp,dc_t731
53276,icmp,dc_t874
16608,udp,dc_t039
31525,udp,dc_t655
46983,icmp,dc_t356
15374,udp,dc_t487
57128,udp,dc_t145
23867,udp,dc_t643
16866,udp,dc_t679
33241,tcp,dc_t187
34642,icmp,dc_t731
17805,tcp,dc_t404
61911,icmp,dc_t957
22322,icmp,dc_t865
39310,udp,dc_t722
64104,udp,dc_t434
1787,tcp,dc_t047
26842,icmp,dc_t733
18125,tcp,dc_t007
47541,tcp,dc_t320
7024,udp,dc_t739
23094,tcp,dc_t147
7166,icmp,dc_t873
19311,udp,dc_t162
3680,udp,dc_t873
7357,icmp,dc_t160
64698,udp,dc_t241
48409,icmp,dc_t409
44805,udp,dc_t999
38351,tcp,dc_t131
25561,udp,dc_t506
31032,tcp,dc_t322
36322,udp,dc_t400
22304,tcp,dc_t347
42734,icmp,dc_t639
7665,tcp,dc_t460
64106,tcp,dc_t761
17594,udp,dc_t264
20229,tcp,dc_t609
1713,icmp,dc_t192
44911,tcp,dc_t998
28366,udp,dc_t769
58410,icmp,dc_t803
47154,udp,dc_t438
42058,udp,dc_t883
7080,tcp,dc_t950
17570,icmp,dc_t893
37256,udp,dc_t048
54685,icmp,dc_t387
63128,icmp,dc_t044
28305,icmp,dc_t382
31572,icmp,dc_t965
18791,icmp,dc_t801
40697,icmp,dc_t582
63459,icmp,dc_t828
56719,udp,dc_t245
30083,udp,dc_t424
42921,icmp,dc_t701
20553,udp,dc_t806
40322,udp,dc_t701
40956,tcp,dc_t101
24011,icmp,dc_t361
17523,tcp,dc_t302
8544,icmp,dc_t131
50151,icmp,dc_t266
40513,tcp,dc_t934
3604,icmp,dc_t912
34303,tcp,dc_t810
40955,udp,dc_t937
20901,tcp,dc_t891
21231,tcp,dc_t383
38130,icmp,dc_t451
33942,udp,dc_t748
27987,tcp,dc_t751
19168,udp,dc_t967
9133,icmp,dc_t903
39336,tcp,dc_t792
61261,tcp,dc_t803
32175,udp,dc_t926
5653,udp,dc_t454
16227,tcp,dc_t728
26902,icmp,dc_t615
41950,icmp,dc_t186
24189,icmp,dc_t200
37849,udp,dc_t193
42754,udp,dc_t168
57944,tcp,dc_t176
2366,tcp,dc_t980
36167,udp,dc_t608
20663,udp,dc_t614
59998,udp,dc_t018
26818,udp,dc_t697
31123,tcp,dc_t515
3773,udp,dc_t934
37872,icmp,dc_t967
28674,tcp,dc_t743
23735,tcp,dc_t628
63588,tcp,dc_t982
50711,tcp,dc_t618
34944,tcp,dc_t875
49039,udp,dc_t820
38680,tcp,dc_t583
31382,tcp,dc_t036
6606,icmp,dc_t626
35688,udp,dc_t876
65353,tcp,dc_t410
53123,tcp,dc_t066
5875,tcp,dc_t450
42255,udp,dc_t671
15771,icmp,dc_t470
13016,udp,dc_t589
4299,tcp,dc_t948
39300,udp,dc_t804
45381,tcp,dc_t335
11009,udp,dc_t688
18040,tcp,dc_t305
64907,udp,dc_t204
52905,udp,dc_t407
36142,icmp,dc_t981
38747,udp,dc_t212
53322,tcp,dc_t181
33621,icmp,dc_t916
1444,icmp,dc_t502
61141,udp,dc_t998
10620,icmp,dc_t151
64276,tcp,dc_t635
19694,tcp,dc_t580
37389,udp,dc_t458
52855,icmp,dc_t869
25407,tcp,dc_t388
47959,icmp,dc_t512
29684,tcp,dc_t685
57906,udp,dc_t077
4090,tcp,dc_t452
32480,udp,dc_t541
64953,icmp,dc_t045
50036,tcp,dc_t477
43,icmp,dc_t432
39023,udp,dc_t389
11605,udp,dc_t686
54755,tcp,dc_t164
9474,icmp,dc_t215
22987,udp,dc_t939
26606,icmp,dc_t399
61092,tcp,dc_t944
12669,tcp,dc_t677
25837,icmp,dc_t211
61847,udp,dc_t736
22331,tcp,dc_t953
64085,icmp,dc_t273
54947,icmp,dc_t281
56629,tcp,dc_t569
55832,tcp,dc_t239
26142,udp,dc_t741
11217,udp,dc_t219
520,udp,dc_t606
59595,icmp,dc_t499
50920,udp,dc_t825
12229,icmp,dc_t948
48350,udp,dc_t873
12296,icmp,dc_t450
55295,udp,dc_t621
51775,tcp,dc_t832
58440,udp,dc_t839
12401,tcp,dc_t386
35656,udp,dc_t641
48806,udp,dc_t282
433,udp,dc_t518
27232,udp,dc_t618
46336,tcp,dc_t220
60669,udp,dc_t276
23682,udp,dc_t702
6281,udp,dc_t692
17004,icmp,dc_t606
60810,udp,dc_t334
36608,tcp,dc_t669
5365,tcp,dc_t459
32038,tcp,dc_t574
12780,tcp,dc_t649
43336,tcp,dc_t096
25668,udp,dc_t133
43220,tcp,dc_t126
22792,icmp,dc_t655
29244,tcp,dc_t444
18134,icmp,dc_t302
47612,tcp,dc_t011
62379,udp,dc_t892
44320,icmp,dc_t058
23878,tcp,dc_t001
5028,udp,dc_t405
31764,icmp,dc_t658
4783,icmp,dc_t104
47565,tcp,dc_t237
60940,icmp,dc_t319
11143,tcp,dc_t759
18726,udp,dc_t351
59236,icmp,dc_t569
27206,icmp,dc_t627
20223,tcp,dc_t910
18878,icmp,dc_t923
53019,icmp,dc_t711
60571,tcp,dc_t674
21712,tcp,dc_t645
2688,tcp,dc_t610
43979,icmp,dc_t058
11410,icmp,dc_t540
25802,tcp,dc_t307
16452,udp,dc_t332
10334,tcp,dc_t439
46909,icmp,dc_t205
18712,udp,dc_t660
40651,tcp,dc_t767
17191,tcp,dc_t693
53232,udp,dc_t397
20823,icmp,dc_t099
14562,udp,dc_t545
61703,icmp,dc_t753
42075,tcp,dc_t194
41565,tcp,dc_t446
21253,udp,dc_t054
4182,icmp,dc_t422
48620,tcp,dc_t021
36223,udp,dc_t943
49482,udp,dc_t945
3095,icmp,dc_t292
63458,icmp,dc_t683
54193,icmp,dc_t178
23406,icmp,dc_t745
25311,icmp,dc_t192
53850,udp,dc_t584
56466,udp,dc_t953
53559,icmp,dc_t196
40872,icmp,dc_t501
24822,tcp,dc_t516
45015,tcp,dc_t241
46274,udp,dc_t914
57443,tcp,dc_t187
62874,tcp,dc_t298
27407,tcp,dc_t313
49949,udp,dc_t798
50804,tcp,dc_t611
15064,udp,dc_t947
59745,icmp,dc_t588
42266,tcp,dc_t706
27274,icmp,dc_t467
14531,tcp,dc_t670
61531,udp,dc_t880
6641,tcp,dc_t469
23688,icmp,dc_t132
2246,icmp,dc_t657
50843,tcp,dc_t725
22687,udp,dc_t087
6149,tcp,dc_t244
28237,udp,dc_t567
56848,icmp,dc_t743
61508,icmp,dc_t016
64058,icmp,dc_t334
44156,tcp,dc_t337
1896,icmp,dc_t481
65252,udp,dc_t650
9550,udp,dc_t409
28376,icmp,dc_t357
19190,tcp,dc_t372
20697,tcp,dc_t173
31132,icmp,dc_t511
9000,icmp,dc_t397
62597,icmp,dc_t536
2578,tcp,dc_t334
6199,tcp,dc_t948
19034,icmp,dc_t682
65355,icmp,dc_t051
24535,icmp,dc_t594
42903,tcp,dc_t468
9046,icmp,dc_t284
26612,tcp,dc_t413
6097,udp,dc_t148
60537,tcp,dc_t588
