Tag,Count
dc_t258,5
dc_t114,5
dc_t513,8
dc_t789,4
dc_t435,2
dc_t333,4
dc_t556,1
dc_t360,4
dc_t871,5
dc_t581,5
dc_t619,3
dc_t278,4
dc_t057,2
dc_t056,6
dc_t964,4
dc_t746,6
dc_t749,5
dc_t353,6
dc_t370,4
dc_t135,2
dc_t076,6
dc_t151,5
dc_t096,3
dc_t963,2
dc_t363,2
dc_t422,2
dc_t765,3
dc_t440,1
dc_t572,3
dc_t685,9
dc_t118,5
dc_t048,4
dc_t483,5
dc_t682,2
dc_t956,2
dc_t338,7
dc_t960,8
dc_t757,6
dc_t158,4
dc_t090,3
dc_t178,2
dc_t032,4
dc_t143,3
dc_t600,3
dc_t954,4
dc_t117,8
dc_t779,8
dc_t919,6
dc_t688,4
dc_t605,7
dc_t543,4
dc_t315,6
dc_t851,5
dc_t792,6
dc_t579,5
dc_t141,5
dc_t105,4
dc_t865,2
dc_t472,4
dc_t740,5
dc_t245,1
dc_t728,3
dc_t070,5
dc_t498,4
dc_t784,5
dc_t554,3
dc_t598,5
dc_t640,6
dc_t112,2
dc_t015,4
dc_t129,3
dc_t240,3
dc_t005,5
dc_t211,2
dc_t276,5
dc_t583,5
dc_t410,3
dc_t793,6
dc_t020,5
dc_t470,1
dc_t651,4
dc_t074,1
dc_t408,1
dc_t735,5
dc_t899,5
dc_t316,2
dc_t160,3
dc_t089,5
dc_t115,2
dc_t299,3
dc_t260,3
dc_t349,5
dc_t229,3
dc_t268,2
dc_t675,3
dc_t271,2
dc_t269,4
dc_t814,4
dc_t494,3
dc_t073,1
dc_t340,4
dc_t194,6
dc_t136,6
dc_t950,5
dc_t148,4
dc_t345,4
dc_t713,3
dc_t311,4
dc_t026,5
dc_t644,5
dc_t184,4
dc_t358,6
dc_t202,3
dc_t926,5
dc_t413,3
dc_t978,6
dc_t352,6
dc_t772,3
dc_t203,3
dc_t673,4
dc_t307,3
dc_t571,4
dc_t170,4
dc_t098,3
dc_t857,3
dc_t873,3
dc_t308,1
dc_t144,2
dc_t215,3
dc_t362,1
dc_t907,1
dc_t862,4
dc_t344,3
dc_t418,5
dc_t884,2
dc_t366,4
dc_t756,3
dc_t647,2
dc_t561,6
dc_t155,5
dc_t890,2
dc_t808,4
dc_t931,4
dc_t365,1
dc_t280,4
dc_t104,4
dc_t752,4
dc_t961,4
dc_t175,1
dc_t853,5
dc_t181,3
dc_t133,3
dc_t623,3
dc_t304,4
dc_t421,3
dc_t575,2
dc_t768,2
dc_t850,6
dc_t799,4
dc_t481,4
dc_t951,5
dc_t949,4
dc_t820,4
dc_t091,6
dc_t824,1
dc_t750,3
dc_t275,3
dc_t665,2
dc_t882,4
dc_t450,2
dc_t191,1
dc_t017,2
dc_t664,3
dc_t121,4
dc_t438,2
dc_t968,5
dc_t405,1
dc_t273,4
dc_t703,6
dc_t014,4
dc_t252,5
dc_t895,2
dc_t095,5
dc_t217,6
dc_t085,3
dc_t247,4
dc_t563,2
dc_t780,2
dc_t810,6
dc_t692,5
dc_t710,5
dc_t939,2
dc_t222,4
dc_t521,3
dc_t458,3
dc_t970,2
dc_t179,4
dc_t263,4
dc_t508,9
dc_t463,1
dc_t480,2
dc_t922,5
dc_t471,4
dc_t296,1
dc_t306,1
dc_t264,4
dc_t701,2
dc_t003,2
dc_t548,2
dc_t887,1
dc_t449,6
dc_t348,5
dc_t914,3
dc_t479,4
dc_t996,6
dc_t106,5
dc_t023,2
dc_t691,5
dc_t495,2
dc_t488,3
dc_t166,4
dc_t959,2
dc_t120,5
dc_t690,5
dc_t167,8
dc_t053,5
dc_t658,3
dc_t767,1
dc_t681,1
dc_t629,1
dc_t226,4
dc_t786,2
dc_t778,3
dc_t965,6
dc_t634,6
dc_t343,4
dc_t595,1
dc_t094,4
dc_t052,3
dc_t918,3
dc_t652,4
dc_t193,2
dc_t159,3
dc_t259,2
dc_t165,3
dc_t525,4
dc_t507,2
dc_t092,3
dc_t234,3
dc_t431,4
dc_t489,1
dc_t632,3
dc_t747,2
dc_t111,2
dc_t044,4
dc_t038,4
dc_t249,3
dc_t204,5
dc_t325,1
dc_t679,6
dc_t892,4
dc_t977,2
dc_t454,4
dc_t124,4
dc_t933,2
dc_t130,3
dc_t025,6
dc_t412,3
dc_t844,3
dc_t715,5
dc_t509,3
dc_t787,2
dc_t214,1
dc_t086,4
dc_t903,3
dc_t702,2
dc_t406,7
dc_t285,4
dc_t902,2
dc_t469,3
dc_t659,4
dc_t863,4
dc_t377,1
dc_t442,3
dc_t318,2
dc_t660,3
dc_t161,2
dc_t372,2
dc_t047,3
dc_t425,3
dc_t351,2
dc_t084,4
dc_t244,3
dc_t497,3
dc_t072,1
dc_t021,4
dc_t062,2
dc_t816,3
dc_t601,3
dc_t319,2
dc_t559,3
dc_t185,3
dc_t553,6
dc_t807,3
dc_t646,2
dc_t638,5
dc_t467,2
dc_t235,2
dc_t019,3
dc_t802,3
dc_t064,6
dc_t075,5
dc_t732,3
dc_t661,3
dc_t517,6
dc_t683,2
dc_t157,2
dc_t320,3
dc_t331,6
dc_t324,4
dc_t860,3
dc_t782,2
dc_t700,2
dc_t995,2
dc_t396,2
dc_t566,4
dc_t945,5
dc_t538,2
dc_t139,2
dc_t419,6
dc_t389,5
dc_t071,3
dc_t614,2
dc_t301,2
dc_t712,4
dc_t485,4
dc_t696,4
dc_t291,4
dc_t818,6
dc_t225,2
dc_t055,3
dc_t206,5
dc_t248,4
dc_t368,5
dc_t519,2
dc_t503,3
dc_t879,4
dc_t101,3
dc_t460,2
dc_t227,1
dc_t613,2
dc_t981,5
dc_t350,5
dc_t891,4
dc_t177,5
dc_t999,1
dc_t024,5
dc_t210,6
dc_t078,3
dc_t150,3
dc_t993,5
dc_t886,1
dc_t321,4
dc_t591,3
dc_t169,2
dc_t309,2
dc_t287,2
dc_t724,2
dc_t835,3
dc_t453,3
dc_t742,3
dc_t815,4
dc_t028,1
dc_t364,6
dc_t947,3
dc_t925,3
dc_t738,5
dc_t033,4
dc_t739,3
dc_t653,5
dc_t917,2
dc_t932,3
dc_t633,3
dc_t441,3
dc_t216,5
dc_t197,4
dc_t198,3
dc_t476,3
dc_t924,4
dc_t952,2
dc_t698,2
dc_t192,2
dc_t729,5
dc_t976,4
dc_t016,1
dc_t721,2
dc_t624,3
dc_t620,3
dc_t393,2
dc_t520,2
dc_t154,8
dc_t596,1
dc_t946,5
dc_t599,3
dc_t846,2
dc_t270,3
dc_t108,3
dc_t102,1
dc_t585,3
dc_t573,2
dc_t022,4
dc_t261,1
dc_t817,5
dc_t088,7
dc_t791,3
dc_t858,3
dc_t966,4
dc_t909,1
dc_t867,2
dc_t763,1
dc_t417,3
dc_t855,4
dc_t231,6
dc_t378,4
dc_t182,4
dc_t196,5
dc_t693,1
dc_t622,3
dc_t839,3
dc_t560,3
dc_t376,1
dc_t423,2
dc_t265,4
dc_t794,5
dc_t174,2
dc_t994,6
dc_t582,2
dc_t631,2
dc_t612,2
dc_t868,5
dc_t530,2
dc_t336,2
dc_t415,4
dc_t475,2
dc_t708,4
dc_t142,2
dc_t881,2
dc_t195,2
dc_t974,5
dc_t080,1
dc_t864,3
dc_t500,2
dc_t803,5
dc_t971,2
dc_t171,4
dc_t893,2
dc_t490,1
dc_t854,3
dc_t722,5
dc_t388,3
dc_t510,4
dc_t809,3
dc_t241,6
dc_t958,1
dc_t900,1
dc_t568,1
dc_t272,1
dc_t540,2
dc_t833,1
dc_t643,3
dc_t827,3
dc_t040,2
dc_t065,1
dc_t992,3
dc_t719,2
dc_t107,2
dc_t162,3
dc_t714,4
dc_t856,3
dc_t452,5
dc_t042,7
dc_t859,4
dc_t727,3
dc_t041,3
dc_t126,3
dc_t969,6
dc_t716,2
dc_t515,1
dc_t545,2
dc_t385,2
dc_t848,2
dc_t329,4
dc_t504,3
dc_t901,2
dc_t677,5
dc_t034,1
dc_t898,2
dc_t875,3
dc_t962,2
dc_t975,3
dc_t327,2
dc_t487,4
dc_t030,1
dc_t920,2
dc_t602,4
dc_t927,5
dc_t200,3
dc_t522,3
dc_t426,4
dc_t455,1
dc_t527,5
dc_t218,2
dc_t505,2
dc_t289,3
dc_t279,1
dc_t709,3
dc_t723,4
dc_t630,1
dc_t013,3
dc_t604,6
dc_t811,1
dc_t429,1
dc_t004,2
dc_t829,3
dc_t012,5
dc_t456,3
dc_t897,4
dc_t097,1
dc_t039,3
dc_t645,4
dc_t474,2
dc_t771,1
dc_t375,3
dc_t186,5
dc_t953,3
dc_t531,3
dc_t524,1
dc_t847,2
dc_t532,1
dc_t027,1
dc_t401,2
dc_t228,2
dc_t493,1
dc_t526,3
dc_t671,4
dc_t608,3
dc_t979,3
dc_t755,1
dc_t686,5
dc_t684,2
dc_t593,1
dc_t374,1
dc_t059,5
dc_t220,4
dc_t705,4
dc_t841,4
dc_t444,5
dc_t156,2
dc_t284,1
dc_t874,1
dc_t212,1
dc_t911,1
dc_t300,2
dc_t317,3
dc_t134,4
dc_t537,2
dc_t980,3
dc_t997,2
dc_t288,4
dc_t986,2
dc_t788,1
dc_t009,1
dc_t255,3
dc_t878,1
dc_t861,1
dc_t464,2
dc_t221,2
dc_t446,3
dc_t046,2
dc_t230,1
dc_t267,2
dc_t201,2
dc_t672,2
dc_t035,1
dc_t093,3
dc_t849,1
dc_t246,1
dc_t984,1
dc_t592,2
dc_t915,2
dc_t029,3
dc_t443,1
dc_t382,1
dc_t837,1
dc_t081,1
dc_t535,4
dc_t163,4
dc_t391,2
dc_t936,2
dc_t060,4
dc_t369,2
dc_t416,1
dc_t395,1
dc_t528,2
dc_t346,1
dc_t706,2
dc_t542,1
dc_t063,1
dc_t775,1
dc_t411,2
dc_t737,1
dc_t492,1
dc_t294,3
dc_t342,4
dc_t286,2
dc_t100,2
dc_t790,2
dc_t006,1
dc_t205,1
dc_t326,1
dc_t825,2
dc_t840,1
dc_t243,4
dc_t407,2
dc_t491,1
dc_t310,1
dc_t482,1
dc_t773,1
dc_t937,2
dc_t473,1
dc_t049,2
dc_t256,2
dc_t777,1
dc_t662,1
dc_t552,1
dc_t437,1
dc_t018,3
dc_t400,1
dc_t330,1
dc_t511,2
dc_t430,1
dc_t795,1
dc_t207,1
dc_t955,1
dc_t549,1
dc_t557,2
dc_t394,1
Untagged,6712

Port,Protocol,Count
3526,tcp,1
20156,tcp,1
44302,icmp,1
18491,udp,1
47540,icmp,1
11589,udp,1
21718,tcp,1
5821,tcp,1
49771,udp,1
15713,icmp,1
58672,tcp,1
30877,udp,1
20311,icmp,1
38445,tcp,1
1582,icmp,1
2088,icmp,1
60162,udp,1
5880,tcp,1
42597,icmp,1
15984,icmp,1
3092,tcp,1
30730,icmp,1
48200,tcp,1
41215,udp,1
39435,tcp,1
60944,udp,1
31496,icmp,1
29513,icmp,1
5284,tcp,1
6921,tcp,1
34301,udp,1
4721,icmp,1
19131,icmp,1
35390,tcp,1
43305,icmp,1
12522,udp,1
48089,udp,1
4653,tcp,1
53369,udp,1
13059,icmp,1
19152,icmp,1
20537,udp,1
33353,tcp,1
12981,tcp,1
56289,tcp,1
19660,udp,1
7922,udp,1
55619,icmp,1
5743,udp,1
6156,udp,1
5560,udp,1
48324,tcp,1
21359,icmp,1
44463,icmp,1
47912,tcp,1
61597,tcp,1
16660,tcp,1
55611,udp,1
30528,icmp,1
20047,icmp,1
23943,tcp,1
14504,icmp,1
16728,icmp,1
34994,icmp,1
57586,tcp,1
49298,icmp,1
34275,tcp,1
26839,tcp,1
20889,udp,1
61461,tcp,1
51774,udp,1
41251,icmp,1
47029,icmp,1
49989,icmp,1
16490,udp,1
60734,icmp,1
4045,tcp,1
36724,udp,1
61271,tcp,1
54281,tcp,1
36973,icmp,1
52636,udp,1
22064,icmp,1
64521,icmp,1
17436,udp,1
19547,icmp,1
20978,tcp,1
57732,icmp,1
3974,tcp,1
7748,udp,1
63316,icmp,1
62225,tcp,1
58445,tcp,1
11385,icmp,1
44728,icmp,1
55583,icmp,1
48676,udp,1
26419,icmp,1
57736,tcp,1
48732,icmp,1
52675,udp,1
7181,tcp,1
37028,udp,1
22806,tcp,1
40173,udp,1
47382,udp,1
61224,udp,1
13699,icmp,1
51848,icmp,1
26279,tcp,1
7789,icmp,1
29682,icmp,1
23762,tcp,1
43528,tcp,1
23939,udp,1
6938,udp,1
27003,udp,1
9856,udp,1
13801,icmp,1
4367,udp,1
11004,tcp,1
9149,udp,1
3181,tcp,1
62752,udp,1
41079,icmp,1
21655,tcp,1
11023,icmp,1
8213,udp,1
53895,tcp,1
428,tcp,1
52131,icmp,1
31706,udp,1
21580,tcp,1
44709,tcp,1
59262,tcp,1
25723,udp,1
53280,udp,1
29932,icmp,1
64658,tcp,1
37522,icmp,1
49986,icmp,1
2144,udp,1
52306,icmp,1
51162,tcp,1
14287,icmp,1
49070,icmp,1
27573,udp,1
39162,udp,1
45281,udp,1
7411,icmp,1
11670,icmp,1
3854,udp,1
24510,udp,1
33299,udp,1
42893,icmp,1
41567,tcp,1
42102,udp,1
54995,tcp,1
58933,udp,1
202,tcp,1
16245,udp,1
15513,icmp,1
35857,udp,1
13277,tcp,1
63632,udp,1
45140,icmp,1
63090,icmp,1
48818,icmp,1
12730,icmp,1
33550,icmp,1
55291,udp,1
19775,udp,1
20732,tcp,1
54806,icmp,1
16212,tcp,1
64986,udp,1
62065,icmp,1
37558,udp,1
9488,tcp,1
25077,icmp,1
21376,udp,1
5329,udp,1
9973,tcp,1
27048,tcp,1
20454,icmp,1
51534,tcp,1
11523,icmp,1
15487,tcp,1
10386,tcp,1
9988,icmp,1
41746,tcp,1
9667,tcp,1
28227,tcp,1
2856,udp,1
8606,tcp,1
37788,udp,1
20361,icmp,1
56367,udp,1
12186,udp,1
59869,icmp,1
1223,udp,1
7081,udp,1
7216,icmp,1
33828,tcp,1
65304,udp,1
34328,udp,1
1882,icmp,1
7392,tcp,1
43213,udp,1
61744,icmp,1
8755,tcp,1
43481,tcp,1
19609,tcp,1
26354,tcp,1
54261,tcp,1
28748,udp,1
54200,udp,1
64776,tcp,1
16653,tcp,1
22761,icmp,1
46554,udp,1
39236,udp,1
11736,tcp,1
24249,icmp,1
49368,udp,1
55682,icmp,1
8155,tcp,1
61245,icmp,1
36106,tcp,1
8737,udp,1
29320,tcp,1
47804,icmp,1
24502,tcp,1
61238,udp,1
34584,udp,1
33782,icmp,1
41070,udp,1
24744,icmp,1
22511,tcp,1
17466,udp,1
2287,udp,1
41955,udp,1
44101,icmp,1
45299,udp,1
2568,icmp,1
58793,udp,1
56603,udp,1
11045,udp,1
50315,tcp,1
54553,icmp,1
63351,tcp,1
5696,udp,1
39230,tcp,1
44436,tcp,1
34697,tcp,1
6064,tcp,1
12563,udp,1
60604,icmp,1
55829,udp,1
38562,icmp,1
57562,tcp,1
54683,tcp,1
4777,tcp,1
7881,icmp,1
56386,udp,1
22132,icmp,1
55151,tcp,1
13040,tcp,1
320,tcp,1
39423,udp,1
11916,icmp,1
9733,icmp,1
35309,tcp,1
61874,icmp,1
18795,tcp,1
65493,tcp,1
25211,tcp,1
36552,udp,1
44429,udp,1
50875,icmp,1
53653,udp,1
1205,udp,1
22293,udp,1
20113,icmp,1
25634,udp,1
57561,icmp,1
15292,udp,1
63117,udp,1
57800,tcp,1
45033,udp,1
32226,tcp,1
24416,tcp,1
31660,tcp,1
55874,udp,1
49824,tcp,1
43347,icmp,1
30558,tcp,1
10271,icmp,1
4205,tcp,1
25218,icmp,1
33380,tcp,1
15687,icmp,1
21342,tcp,1
5060,tcp,1
60707,udp,1
50226,tcp,1
36071,udp,1
59625,udp,1
47938,icmp,1
43907,tcp,1
49567,tcp,1
37010,udp,1
39766,udp,1
52459,udp,1
21694,udp,1
29462,udp,1
65128,tcp,1
20850,tcp,1
47719,udp,1
43560,icmp,1
38214,icmp,1
40386,icmp,1
5030,udp,1
53879,icmp,1
2954,udp,1
26207,icmp,1
24337,udp,1
52557,icmp,1
58246,tcp,1
46111,udp,1
22272,tcp,1
8947,udp,1
47212,icmp,1
63154,udp,1
42390,icmp,1
25620,tcp,1
64666,tcp,1
42981,udp,1
5266,udp,1
47700,tcp,1
29997,tcp,1
27953,tcp,1
19776,icmp,1
54865,icmp,1
50513,udp,1
6183,tcp,1
31630,udp,1
33086,udp,1
42072,udp,1
34669,udp,1
54642,udp,1
36556,tcp,1
32072,icmp,1
54836,udp,1
45273,icmp,1
42408,tcp,1
30003,udp,1
25243,icmp,1
5803,tcp,1
62227,udp,1
13712,icmp,1
8547,tcp,1
13352,icmp,1
27387,tcp,1
13216,icmp,1
25956,udp,1
8564,udp,1
55109,icmp,1
33327,udp,1
65482,icmp,1
21944,icmp,1
59197,icmp,1
47682,icmp,1
53843,udp,1
16398,udp,1
62367,udp,1
20076,icmp,1
48527,icmp,1
16758,tcp,1
64260,icmp,1
36032,icmp,1
60853,icmp,1
39056,icmp,1
9976,tcp,1
36956,tcp,1
56598,udp,1
47076,udp,1
40277,tcp,1
19128,udp,1
6382,icmp,1
5453,icmp,1
63380,udp,1
2693,icmp,1
59996,udp,1
26716,udp,1
39022,icmp,1
25602,udp,1
27131,udp,1
64053,icmp,1
28313,icmp,1
49128,tcp,1
45795,icmp,1
43808,icmp,1
20919,icmp,1
31448,tcp,1
20997,icmp,1
53947,tcp,1
34901,udp,1
20955,icmp,1
47775,icmp,1
65432,tcp,1
2229,icmp,1
36798,icmp,1
41231,udp,1
13251,tcp,1
53000,icmp,1
6674,udp,1
35798,icmp,1
17940,icmp,1
21748,icmp,1
43826,tcp,1
36443,tcp,1
64435,tcp,1
25040,tcp,1
2349,udp,1
3469,icmp,1
61217,icmp,1
37188,udp,1
55580,icmp,1
28326,icmp,1
3848,tcp,1
5118,tcp,1
1747,udp,1
50338,tcp,1
33715,udp,1
28543,icmp,1
26118,tcp,1
58434,udp,1
10233,udp,1
13089,icmp,1
44539,tcp,1
1653,tcp,1
50562,icmp,1
48838,tcp,1
42133,tcp,1
30,udp,1
30912,udp,1
37892,udp,1
44250,icmp,1
44764,tcp,1
53875,icmp,1
64581,udp,1
29247,icmp,1
59107,tcp,1
27925,icmp,1
28083,icmp,1
18531,udp,1
40108,icmp,1
8068,tcp,1
13272,udp,1
36568,icmp,1
19042,icmp,1
12078,tcp,1
45419,icmp,1
58293,udp,1
35578,udp,1
8857,icmp,1
43226,tcp,1
1040,icmp,1
40085,icmp,1
57556,tcp,1
34736,udp,1
60096,tcp,1
63688,udp,1
15909,tcp,1
28465,icmp,1
49107,icmp,1
63113,udp,1
19120,tcp,1
2932,udp,1
62519,udp,1
21226,udp,1
23162,udp,1
46238,icmp,1
35361,icmp,1
39860,udp,1
55854,tcp,1
6744,udp,1
37529,tcp,1
12284,icmp,1
25129,udp,1
46342,tcp,1
60494,icmp,1
34083,udp,1
37680,udp,1
12042,tcp,1
21677,icmp,1
42348,tcp,1
8402,tcp,1
50837,udp,1
43029,icmp,1
37938,udp,1
27786,udp,1
24415,tcp,1
58409,icmp,1
60488,icmp,1
62232,icmp,1
45198,udp,1
4839,icmp,1
49251,udp,1
9297,tcp,1
1327,udp,1
64470,tcp,1
65179,tcp,1
58412,icmp,1
31478,icmp,1
15529,tcp,1
8876,udp,1
11158,tcp,1
37703,icmp,1
40393,udp,1
3667,icmp,1
35583,icmp,1
1470,tcp,1
47434,icmp,1
57112,udp,1
45810,icmp,1
56012,udp,1
65025,tcp,1
333,icmp,1
20888,udp,1
9681,tcp,1
36861,icmp,1
65364,tcp,1
27278,icmp,1
63417,udp,1
21217,icmp,1
51798,udp,1
33845,udp,1
22052,tcp,1
34487,icmp,1
11632,tcp,1
3917,icmp,1
50178,udp,1
59460,tcp,1
16176,tcp,1
62548,tcp,1
13204,tcp,1
15160,udp,1
209,tcp,1
20389,icmp,1
57011,udp,1
28266,tcp,1
7263,icmp,1
30998,tcp,1
51046,udp,1
23464,tcp,1
56770,icmp,1
31827,udp,1
24592,tcp,1
21247,icmp,1
6066,udp,1
36575,icmp,1
16272,udp,1
61387,icmp,1
17186,icmp,1
2084,icmp,1
25592,udp,1
61720,icmp,1
14146,tcp,1
42964,icmp,1
28019,icmp,1
33461,icmp,1
55477,udp,1
19345,tcp,1
28268,tcp,1
62365,udp,1
8943,udp,1
3803,icmp,1
29801,udp,1
9215,icmp,1
41835,tcp,1
59050,icmp,1
29743,icmp,1
32180,udp,1
62174,icmp,1
64910,udp,1
39701,icmp,1
4513,icmp,1
1226,tcp,1
17063,icmp,1
52697,udp,1
31432,udp,1
34407,udp,1
48534,icmp,1
53606,tcp,1
50149,tcp,1
63846,icmp,1
57950,tcp,1
9487,tcp,1
43604,udp,1
779,icmp,1
53243,udp,1
57504,icmp,1
43431,icmp,1
32964,udp,1
57811,icmp,1
61134,udp,1
59714,icmp,1
18507,udp,1
80,udp,1
62018,udp,1
37007,udp,1
31326,icmp,1
64587,tcp,1
34659,icmp,1
45850,udp,1
885,udp,1
60834,icmp,1
41997,udp,1
10727,icmp,1
48246,tcp,1
247,udp,1
10738,tcp,1
60953,icmp,1
26747,udp,1
25480,udp,1
27087,icmp,1
10612,udp,1
26866,icmp,1
28976,icmp,1
1797,icmp,1
60146,udp,1
44520,tcp,1
27986,udp,1
35815,udp,1
58287,tcp,1
44593,tcp,1
29232,icmp,1
41452,tcp,1
37687,icmp,1
39074,tcp,1
29472,icmp,1
27737,tcp,1
9016,icmp,1
48270,udp,1
63270,udp,1
53703,tcp,1
42417,icmp,1
38975,icmp,1
57807,tcp,1
18470,icmp,1
28323,udp,1
8099,icmp,1
61797,icmp,1
50602,icmp,1
7815,udp,1
30365,udp,1
26974,icmp,1
13587,udp,1
12759,tcp,1
65229,udp,1
26224,tcp,1
23273,udp,1
30032,tcp,1
56192,icmp,1
28720,icmp,1
14732,tcp,1
60736,udp,1
43787,tcp,1
46936,udp,1
1557,tcp,1
58341,tcp,1
54688,icmp,1
32325,udp,1
39871,tcp,1
7388,udp,1
25318,icmp,1
42646,icmp,1
49445,udp,1
59848,tcp,1
44222,tcp,1
62606,tcp,1
23773,tcp,1
57722,tcp,1
15123,icmp,1
55959,udp,1
11240,tcp,1
31082,tcp,1
22644,icmp,1
63985,icmp,1
57662,icmp,1
37485,tcp,1
20950,udp,1
25593,tcp,1
22762,tcp,1
58456,udp,1
55521,udp,1
29962,tcp,1
9722,udp,1
14831,tcp,1
6430,icmp,1
30037,tcp,1
14978,udp,1
889,icmp,1
40435,tcp,1
1806,tcp,1
19243,icmp,1
15721,udp,1
26402,icmp,1
62849,udp,1
868,icmp,1
53686,tcp,1
9955,icmp,1
22438,udp,1
38596,icmp,1
7518,udp,1
14976,udp,1
27535,udp,1
63029,icmp,1
46243,tcp,1
15290,tcp,1
55905,udp,1
26272,tcp,1
13262,udp,1
42465,udp,1
28928,icmp,1
19138,udp,1
16951,udp,1
16214,tcp,1
