2, 123456789012,eni-n8ygmwnn, 185.144.92.110, 255.35.60.234, 3526, icmp, 6, 22, 2000, 1620140671, 1620140801, REJECT, OK
2, 123456789012,eni-leqjcjeo, 101.213.210.27, 5.145.173.190, 31706, icmp, 17, 10, 14000, 1620140718, 1620140802, ACCEPT, OK
2, 123456789012,eni-gccxcdgy, 151.11.140.21, 204.125.12.244, 21580, tcp, 6, 4, 4000, 1620140681, 1620140750, REJECT, OK
2, 123456789012,eni-z8vstcqw, 73.35.80.46, 165.15.44.42, 44709, icmp, 6, 23, 13000, 1620140742, 1620140763, REJECT, OK
2, 123456789012,eni-fkafs5iq, 88.52.215.113, 130.34.82.84, 59262, icmp, 6, 10, 1000, 1620140760, 1620140746, REJECT, OK
2, 123456789012,eni-48giva2p, 117.242.223.236, 211.211.116.11, 25723, tcp, 17, 8, 10000, 1620140665, 1620140802, ACCEPT, OK
2, 123456789012,eni-2fwfuzvu, 46.81.12.215, 52.72.10.42, 53280, udp, 17, 5, 9000, 1620140672, 1620140810, ACCEPT, OK
2, 123456789012,eni-5efv2b29, 71.127.88.169, 155.66.62.81, 29932, tcp, 1, 19, 1000, 1620140698, 1620140776, ACCEPT, OK
2, 123456789012,eni-dfa9aa34, 103.52.136.55, 208.230.117.179, 64658, icmp, 6, 6, 17000, 1620140704, 1620140815, REJECT, OK
2, 123456789012,eni-ccfq1xz4, 194.155.250.110, 193.189.138.116, 37522, icmp, 1, 11, 7000, 1620140754, 1620140723, REJECT, OK
2, 123456789012,eni-wz5zb3r3, 53.76.79.7, 150.185.48.186, 49986, icmp, 1, 1, 23000, 1620140720, 1620140735, ACCEPT, OK
2, 123456789012,eni-n1yncyl1, 38.74.116.148, 128.247.192.217, 2144, icmp, 17, 9, 13000, 1620140721, 1620140784, REJECT, OK
2, 123456789012,eni-kcst6gmh, 21.73.95.133, 66.230.110.212, 52306, tcp, 1, 18, 18000, 1620140749, 1620140724, ACCEPT, OK
2, 123456789012,eni-15n262su, 8.179.231.219, 28.172.231.109, 51162, icmp, 6, 11, 19000, 1620140758, 1620140783, REJECT, OK
2, 123456789012,eni-i5f6limb, 54.148.77.22, 150.234.80.225, 14287, udp, 1, 19, 8000, 1620140745, 1620140801, ACCEPT, OK
2, 123456789012,eni-rtk9p1xk, 169.102.13.122, 149.151.124.27, 49070, tcp, 1, 9, 19000, 1620140730, 1620140812, REJECT, OK
2, 123456789012,eni-zu86nep4, 1.125.189.1, 222.18.193.209, 27573, tcp, 17, 6, 8000, 1620140726, 1620140793, REJECT, OK
2, 123456789012,eni-4webosiv, 125.38.127.41, 180.1.75.229, 39162, icmp, 17, 16, 9000, 1620140694, 1620140810, REJECT, OK
2, 123456789012,eni-eyf4qwrf, 234.228.12.42, 104.121.121.142, 45281, udp, 17, 20, 18000, 1620140697, 1620140762, ACCEPT, OK
2, 123456789012,eni-hzmlfm8y, 222.43.207.112, 173.224.50.182, 7411, udp, 1, 16, 4000, 1620140688, 1620140807, ACCEPT, OK
2, 123456789012,eni-ov7awkbi, 83.207.198.40, 240.213.240.39, 11670, udp, 1, 20, 4000, 1620140677, 1620140813, REJECT, OK
2, 123456789012,eni-8mw7dbuo, 192.121.246.194, 105.71.1.177, 3854, udp, 17, 14, 2000, 1620140749, 1620140724, ACCEPT, OK
2, 123456789012,eni-ld1v9rqm, 26.201.168.250, 218.210.83.189, 24510, udp, 17, 11, 8000, 1620140748, 1620140815, REJECT, OK
2, 123456789012,eni-hz5jmigt, 219.200.168.243, 141.55.23.99, 33299, tcp, 17, 6, 5000, 1620140756, 1620140813, REJECT, OK
2, 123456789012,eni-u2sgo4t9, 71.186.247.243, 94.98.229.147, 42893, udp, 1, 2, 4000, 1620140663, 1620140770, ACCEPT, OK
2, 123456789012,eni-bgnunwr2, 192.203.8.50, 154.74.108.191, 41567, tcp, 6, 11, 10000, 1620140699, 1620140782, ACCEPT, OK
2, 123456789012,eni-lp7quwza, 124.238.2.244, 62.86.190.105, 42102, tcp, 17, 5, 16000, 1620140695, 1620140809, ACCEPT, OK
2, 123456789012,eni-57mtlyvs, 165.96.213.242, 100.210.13.245, 54995, udp, 6, 20, 15000, 1620140666, 1620140811, ACCEPT, OK
2, 123456789012,eni-6l1caflg, 65.87.223.211, 39.182.224.213, 58933, tcp, 17, 9, 25000, 1620140733, 1620140736, ACCEPT, OK
2, 123456789012,eni-h27x31rx, 225.118.244.246, 56.154.135.158, 202, udp, 6, 18, 18000, 1620140753, 1620140758, ACCEPT, OK
2, 123456789012,eni-k1gbz10p, 53.140.55.251, 6.195.223.16, 16245, udp, 17, 22, 3000, 1620140672, 1620140770, ACCEPT, OK
2, 123456789012,eni-ddz55u4p, 177.225.11.47, 89.223.80.77, 15513, icmp, 1, 10, 21000, 1620140731, 1620140782, REJECT, OK
2, 123456789012,eni-vyls0oxe, 44.190.34.104, 200.33.69.218, 35857, icmp, 17, 10, 3000, 1620140746, 1620140732, REJECT, OK
2, 123456789012,eni-p1zlyoc8, 216.17.184.255, 242.110.253.141, 13277, tcp, 6, 19, 10000, 1620140724, 1620140725, REJECT, OK
2, 123456789012,eni-z2u2b9hq, 221.168.206.9, 137.114.124.23, 63632, udp, 17, 9, 14000, 1620140744, 1620140792, ACCEPT, OK
2, 123456789012,eni-lzxqlcae, 193.132.114.127, 225.176.132.11, 45140, icmp, 1, 3, 8000, 1620140741, 1620140754, ACCEPT, OK
2, 123456789012,eni-pfokagx5, 125.177.103.187, 104.160.16.161, 63090, icmp, 1, 1, 16000, 1620140696, 1620140796, ACCEPT, OK
2, 123456789012,eni-u51rkkga, 207.58.92.133, 71.150.5.236, 48818, udp, 1, 18, 25000, 1620140729, 1620140786, REJECT, OK
2, 123456789012,eni-urcko4pu, 142.204.218.42, 18.130.97.187, 12730, tcp, 1, 18, 22000, 1620140750, 1620140735, ACCEPT, OK
2, 123456789012,eni-c0llwnzs, 125.137.103.114, 239.84.232.97, 33550, tcp, 1, 4, 16000, 1620140744, 1620140805, REJECT, OK
2, 123456789012,eni-lsbre1f9, 245.42.117.103, 122.90.34.170, 55291, udp, 17, 13, 4000, 1620140696, 1620140787, ACCEPT, OK
2, 123456789012,eni-rw5cwp1x, 84.207.69.193, 183.30.155.24, 19775, icmp, 17, 3, 25000, 1620140692, 1620140788, ACCEPT, OK
2, 123456789012,eni-ztfmtlku, 175.197.193.163, 33.135.18.22, 20732, udp, 6, 2, 16000, 1620140750, 1620140812, ACCEPT, OK
2, 123456789012,eni-9cw63b6r, 9.242.125.141, 126.179.47.214, 54806, icmp, 1, 17, 4000, 1620140675, 1620140727, REJECT, OK
2, 123456789012,eni-8i68rzl0, 74.112.214.113, 177.185.5.192, 16212, udp, 6, 10, 18000, 1620140747, 1620140751, ACCEPT, OK
2, 123456789012,eni-zcxooilk, 141.7.7.113, 80.160.65.196, 64986, udp, 17, 22, 10000, 1620140698, 1620140769, ACCEPT, OK
2, 123456789012,eni-kefatat9, 72.221.230.93, 231.61.144.75, 62065, icmp, 1, 20, 1000, 1620140737, 1620140777, REJECT, OK
2, 123456789012,eni-eq1bv60o, 14.47.116.77, 142.35.65.188, 37558, tcp, 17, 19, 3000, 1620140665, 1620140724, ACCEPT, OK
2, 123456789012,eni-d3ftaptx, 181.113.17.28, 254.32.98.47, 9488, tcp, 6, 13, 4000, 1620140698, 1620140744, ACCEPT, OK
2, 123456789012,eni-n6kc3aoz, 117.46.88.228, 218.31.50.144, 25077, udp, 1, 22, 25000, 1620140721, 1620140725, ACCEPT, OK
2, 123456789012,eni-gh27vi7p, 39.48.195.135, 220.165.249.250, 21376, icmp, 17, 6, 7000, 1620140748, 1620140725, ACCEPT, OK
2, 123456789012,eni-woto8i5h, 105.49.88.252, 147.147.158.93, 5329, udp, 17, 19, 5000, 1620140741, 1620140734, ACCEPT, OK
2, 123456789012,eni-uqfenxzi, 127.215.12.157, 34.132.51.195, 9973, udp, 6, 24, 20000, 1620140719, 1620140728, REJECT, OK
2, 123456789012,eni-hq2w2b09, 28.209.177.249, 136.1.162.197, 27048, udp, 6, 15, 2000, 1620140715, 1620140768, ACCEPT, OK
